hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-05-01T11:00:00Z,1474745.251,873409.3644340648,601335.8865659351,601335.8865659351,ridge_alpha_10
2026-05-01T12:00:00Z,471236.965,1403998.3477647454,-932761.3827647453,932761.3827647453,ridge_alpha_10
2026-05-01T13:00:00Z,432764.5667340749,1115919.5111720017,-683154.9444379269,683154.9444379269,ridge_alpha_10
2026-05-01T14:00:00Z,455853.911,1094103.176929729,-638249.265929729,638249.265929729,ridge_alpha_10
2026-05-01T15:00:00Z,421162.209,952666.523454419,-531504.3144544191,531504.3144544191,ridge_alpha_10
2026-05-01T16:00:00Z,422864.568,888568.4361429447,-465703.8681429447,465703.8681429447,ridge_alpha_10
2026-05-01T17:00:00Z,421240.1726582279,770331.2981906007,-349091.1255323728,349091.1255323728,ridge_alpha_10
2026-05-01T18:00:00Z,616766.124,738296.6302240025,-121530.50622400257,121530.50622400257,ridge_alpha_10
2026-05-01T19:00:00Z,418149.986,820144.3810984353,-401994.3950984353,401994.3950984353,ridge_alpha_10
2026-05-01T20:00:00Z,372975.428283845,914449.9174184295,-541474.4891345846,541474.4891345846,ridge_alpha_10
2026-05-01T21:00:00Z,452636.155,811550.6614912791,-358914.5064912791,358914.5064912791,ridge_alpha_10
2026-05-01T22:00:00Z,481052.442,754674.3628316264,-273621.92083162646,273621.92083162646,ridge_alpha_10
2026-05-01T23:00:00Z,404738.367,921213.1848743126,-516474.8178743126,516474.8178743126,ridge_alpha_10
2026-05-02T00:00:00Z,437565.211,957125.8576459863,-519560.64664598624,519560.64664598624,ridge_alpha_10
2026-05-02T01:00:00Z,432350.656,839239.1868607454,-406888.5308607454,406888.5308607454,ridge_alpha_10
2026-05-02T02:00:00Z,557237.782,916889.5056436374,-359651.7236436374,359651.7236436374,ridge_alpha_10
2026-05-02T03:00:00Z,453594.656,875686.2296927755,-422091.5736927755,422091.5736927755,ridge_alpha_10
2026-05-02T04:00:00Z,420510.05667001,899315.4796647129,-478805.42299470294,478805.42299470294,ridge_alpha_10
2026-05-02T05:00:00Z,472641.06853426713,911451.9308017297,-438810.86226746254,438810.86226746254,ridge_alpha_10
2026-05-02T06:00:00Z,401974.291,971054.0369545755,-569079.7459545755,569079.7459545755,ridge_alpha_10
2026-05-02T07:00:00Z,491042.607,993754.2751877726,-502711.66818777256,502711.66818777256,ridge_alpha_10
2026-05-02T08:00:00Z,516196.4414920797,988794.1304137573,-472597.6889216776,472597.6889216776,ridge_alpha_10
2026-05-02T09:00:00Z,446310.59,1026731.4166724766,-580420.8266724765,580420.8266724765,ridge_alpha_10
2026-05-02T10:00:00Z,466696.905,1013009.4208099765,-546312.5158099765,546312.5158099765,ridge_alpha_10
2026-05-02T11:00:00Z,426702.946,1091506.476463877,-664803.5304638769,664803.5304638769,ridge_alpha_10
2026-05-02T12:00:00Z,361529.0565282641,929504.8128867557,-567975.7563584916,567975.7563584916,ridge_alpha_10
2026-05-02T13:00:00Z,407324.867,1016622.455094913,-609297.5880949129,609297.5880949129,ridge_alpha_10
2026-05-02T14:00:00Z,426086.222,958145.3531713447,-532059.1311713448,532059.1311713448,ridge_alpha_10
2026-05-02T15:00:00Z,394020.76544450026,1009278.0314883756,-615257.2660438754,615257.2660438754,ridge_alpha_10
2026-05-02T16:00:00Z,453411.771,1085112.4195813132,-631700.6485813132,631700.6485813132,ridge_alpha_10
2026-05-02T17:00:00Z,418139.109,1011901.2044208004,-593762.0954208004,593762.0954208004,ridge_alpha_10
2026-05-02T18:00:00Z,492529.2231115558,1009341.464108498,-516812.24099694216,516812.24099694216,ridge_alpha_10
2026-05-02T19:00:00Z,562359.479,1181465.7526476276,-619106.2736476276,619106.2736476276,ridge_alpha_10
2026-05-02T20:00:00Z,470874.942278481,1048921.577385262,-578046.6351067809,578046.6351067809,ridge_alpha_10
2026-05-02T21:00:00Z,466596.197,1176915.29298495,-710319.09598495,710319.09598495,ridge_alpha_10
2026-05-02T22:00:00Z,586877.514,1085146.233187043,-498268.71918704314,498268.71918704314,ridge_alpha_10
2026-05-02T23:00:00Z,504248.422,1216039.6953730714,-711791.2733730713,711791.2733730713,ridge_alpha_10
2026-05-03T00:00:00Z,545084.31,1179174.176396151,-634089.866396151,634089.866396151,ridge_alpha_10
