model_name,feature,coefficient_scaled,abs_coefficient_scaled,tree_importance
ridge_alpha_1,unique_accounts,12791.404241116292,12791.404241116292,
ridge_alpha_1,avg_import_fee,-12704.846003762897,12704.846003762897,
ridge_alpha_1,fee_lag_3h,12318.370492935966,12318.370492935966,
ridge_alpha_1,p90_fee_change_24h,11950.847397772752,11950.847397772752,
ridge_alpha_1,is_weekend,10643.320523013648,10643.320523013648,
ridge_alpha_1,fee_change_3h,-9722.157730847422,9722.157730847422,
ridge_alpha_1,fee_change_24h,9674.915282617094,9674.915282617094,
ridge_alpha_1,rolling_avg_fee_6h,-9593.21106955393,9593.21106955393,
ridge_alpha_1,median_total_fee,-9479.663839141747,9479.663839141747,
ridge_alpha_1,rolling_std_fee_24h,-8969.508674504621,8969.508674504621,
ridge_alpha_1,p90_fee_change_3h,-8497.622905967975,8497.622905967975,
ridge_alpha_1,hour_sin,7087.648143614289,7087.648143614289,
ridge_alpha_1,hour_of_day,-5870.046888366967,5870.046888366967,
ridge_alpha_1,fee_lag_12h,5863.385859046502,5863.385859046502,
ridge_alpha_1,median_gas_used,-5152.753930452367,5152.753930452367,
ridge_alpha_1,avg_transaction_value,3109.7571424753987,3109.7571424753987,
ridge_alpha_1,total_transaction_value,3109.7571424331945,3109.7571424331945,
ridge_alpha_1,day_cos,-2535.812155444306,2535.812155444306,
ridge_alpha_1,compute_success_ratio,2509.3362293511527,2509.3362293511527,
ridge_alpha_1,same_hour_prev_day_fee,788.8318848950548,788.8318848950548,
ridge_alpha_1,fee_lag_24h,788.8318848934014,788.8318848934014,
ridge_alpha_1,tx_count,7.231574272736907e-08,7.231574272736907e-08,
ridge_alpha_1,min_total_fee,2.1193045540712774e-08,2.1193045540712774e-08,
ridge_alpha_1,tx_count_change_1h,-9.89530235528946e-10,9.89530235528946e-10,
ridge_alpha_1,tx_count_change_3h,-6.475602276623249e-10,6.475602276623249e-10,
ridge_alpha_1,tx_count_change_6h,-3.2014213502407074e-10,3.2014213502407074e-10,
ridge_alpha_1,tx_count_change_24h,-2.546585164964199e-10,2.546585164964199e-10,
ridge_alpha_10,failed_tx_ratio,59476.27906911781,59476.27906911781,
ridge_alpha_10,p90_total_fee,-57261.66332348767,57261.66332348767,
ridge_alpha_10,std_total_fee,-42788.422806438735,42788.422806438735,
ridge_alpha_10,avg_msg_size_bits,39931.456373553876,39931.456373553876,
ridge_alpha_10,rolling_avg_fee_12h,36718.471346606006,36718.471346606006,
ridge_alpha_10,p90_fee_change_6h,35975.100402925294,35975.100402925294,
ridge_alpha_10,day_of_week,-34909.8433772115,34909.8433772115,
ridge_alpha_10,hour_cos,33584.9635902962,33584.9635902962,
ridge_alpha_10,avg_storage_fee,32327.433640646996,32327.433640646996,
ridge_alpha_10,day_sin,-25328.457909291912,25328.457909291912,
ridge_alpha_10,avg_gas_used,24950.084226948195,24950.084226948195,
ridge_alpha_10,avg_compute_fee,24718.550078304357,24718.550078304357,
ridge_alpha_10,avg_total_fee,21846.140634998967,21846.140634998967,
ridge_alpha_10,gas_used_change_6h,21773.167111877883,21773.167111877883,
ridge_alpha_10,avg_action_fee,20243.15529106764,20243.15529106764,
ridge_alpha_10,fee_change_1h,-20112.337577161903,20112.337577161903,
ridge_alpha_10,rolling_std_fee_6h,-19608.25692222805,19608.25692222805,
ridge_alpha_10,gas_used_change_3h,18586.0698655871,18586.0698655871,
ridge_alpha_10,fee_lag_6h,18083.102001765415,18083.102001765415,
ridge_alpha_10,p90_fee_change_1h,16631.389284822748,16631.389284822748,
ridge_alpha_10,avg_msg_size_cells,-16546.44932031072,16546.44932031072,
ridge_alpha_10,unique_accounts,15711.142515740283,15711.142515740283,
ridge_alpha_10,fee_lag_1h,14632.505863293532,14632.505863293532,
ridge_alpha_10,rolling_avg_fee_24h,14333.132663388915,14333.132663388915,
ridge_alpha_10,fee_change_12h,14230.608016459777,14230.608016459777,
ridge_alpha_10,rolling_avg_fee_3h,12923.779678535948,12923.779678535948,
ridge_alpha_10,p90_fee_change_3h,-12861.794016118325,12861.794016118325,
ridge_alpha_10,gas_used_change_1h,-12178.439468508659,12178.439468508659,
ridge_alpha_10,fee_change_24h,11811.5512809225,11811.5512809225,
ridge_alpha_10,avg_msgs_created,11505.815676126083,11505.815676126083,
ridge_alpha_10,avg_import_fee,-11477.011076975234,11477.011076975234,
ridge_alpha_10,gas_used_change_24h,-11314.67907050368,11314.67907050368,
ridge_alpha_10,fee_lag_3h,11030.504918791215,11030.504918791215,
ridge_alpha_10,avg_out_msg_count,-10450.896264908368,10450.896264908368,
ridge_alpha_10,max_total_fee,10265.509055482808,10265.509055482808,
ridge_alpha_10,hour_sin,9855.282030550186,9855.282030550186,
ridge_alpha_10,action_success_ratio,9094.717435148788,9094.717435148788,
ridge_alpha_10,rolling_std_fee_24h,-8489.447478054743,8489.447478054743,
ridge_alpha_10,median_gas_used,-6352.621906537017,6352.621906537017,
ridge_alpha_10,median_total_fee,-6051.959912989058,6051.959912989058,
ridge_alpha_10,hour_of_day,-5487.035504551815,5487.035504551815,
ridge_alpha_10,is_weekend,5332.630425704443,5332.630425704443,
ridge_alpha_10,fee_change_6h,-5242.021264495232,5242.021264495232,
ridge_alpha_10,compute_success_ratio,4700.575575194322,4700.575575194322,
ridge_alpha_10,p90_fee_change_24h,4639.664443160794,4639.664443160794,
ridge_alpha_10,fee_change_3h,-3115.9304254381314,3115.9304254381314,
ridge_alpha_10,avg_forward_fee,-3058.1997543319176,3058.1997543319176,
ridge_alpha_10,avg_transaction_value,2655.7091384983214,2655.7091384983214,
ridge_alpha_10,total_transaction_value,2655.7091384969353,2655.7091384969353,
ridge_alpha_10,rolling_avg_fee_6h,-2204.377214091619,2204.377214091619,
ridge_alpha_10,same_hour_prev_day_fee,-1111.9025892174577,1111.9025892174577,
ridge_alpha_10,fee_lag_24h,-1111.9025892168247,1111.9025892168247,
ridge_alpha_10,fee_lag_12h,885.100318394012,885.100318394012,
ridge_alpha_10,avg_vm_steps,-244.31767269321426,244.31767269321426,
ridge_alpha_10,day_cos,-53.16119540918686,53.16119540918686,
